Tara,X1,X2,X3,X4,X5,X6,X7,X8
Belgium,153.31,29384,5,46.4,5.9,24.1,117,16.4
Bulgaria,205.54,7660,6.4,58.7,38.4,27.8,66,10.6
Czechia,233.5,14796,9.9,46,15.1,30.6,91,6.8
Denmark,156.75,27963,38,17.9,11.9,28.7,128,10.6
Germany,174.6,25056,17.7,31.2,11.7,13.8,115,6
Estonia,328.31,16195,11.8,35.2,15.3,30.8,79,18.6
Ireland,173.05,33562,3.1,62.2,4.2,18.3,211,10.1
Spain,119.1,18338,5.2,67.2,7.1,28.1,92,29.7
Croatia,179.72,13319,2.1,76.4,34.7,29.2,77,17.7
Italy,94.6,19755,3,68.1,28,19.4,98,23.7
Cyprus,99.75,19538,2.2,57.3,2.1,14.4,95,18.1
Latvia,247.98,12965,5.6,50.9,42,16,71,15.3
Luxembourg,202.76,39805,8,46.1,6,20,241,17.6
Hungary,328.24,8225,10.3,54.3,16.3,40.6,77,10.6
Netherlands,177.8,28946,19.2,35.7,3.6,43.9,135,7.6
Poland,195.72,10915,5,68.3,36,15.1,79,10.8
Portugal,209.06,12536,8.2,62.4,10.2,30.3,82,19.2
Romania,130.4,7224,8.1,52.3,41.7,28.3,79,22.8
Slovenia,170.57,20649,2.7,60,11.4,16.5,91,10.1
Finland,108.32,22779,13.6,17.1,10,14.1,103,14.2
Sweden,178.49,23337,16.7,23.8,17.8,17.9,114,21.7
